,Unnamed: 0,K,race,sex,LSAT,c_LSAT,UGPA,c_UGPA,ZFYA
2602,2602,0.7486452341262,Mexican,1,2.14918714047572,1.94918714047572,1.52459357023786,1.22459357023786,1.3743226170631
4212,4212,0.5443448876343211,Black,1,1.5266069325805929,1.3266069325805927,1.0633034662902965,0.7633034662902963,1.6721724438171606
3819,3819,0.4773503981224013,Asian,2,1.4864102388734408,1.686410238873441,0.5432051194367205,0.8432051194367204,0.8386751990612007
8805,8805,0.8413567713051986,White,1,2.304814062783119,2.104814062783119,1.2524070313915596,0.9524070313915596,1.8206783856525992
19952,19952,0.6038953001447722,Hispanic,1,1.9623371800868636,1.7623371800868637,1.1811685900434317,0.8811685900434317,1.801947650072386
28469,28469,0.1079308552627021,Mexican,1,1.7647585131576211,1.5647585131576212,1.3323792565788106,1.0323792565788106,1.053965427631351
6004,6004,0.1572038835569542,Mexican,1,1.7943223301341724,1.5943223301341725,1.3471611650670865,1.0471611650670862,1.0786019417784771
6362,6362,0.2402450184643039,Puertorican,2,1.3441470110785825,1.5441470110785824,0.5720735055392911,0.8720735055392912,0.620122509232152
3426,3426,0.5633953507126401,Amerindian,1,1.838037210427584,1.638037210427584,0.969018605213792,0.6690186052137921,1.58169767535632
22418,22418,0.5674941994810628,Puertorican,1,1.7404965196886375,1.5404965196886375,0.9702482598443188,0.6702482598443189,1.1837470997405315
16614,16614,0.5725654538976889,Mexican,1,2.043539272338613,1.8435392723386133,1.471769636169307,1.1717696361693066,1.2862827269488444
8055,8055,0.397634985732753,White,2,1.838580991439652,2.038580991439652,0.8192904957198259,1.119290495719826,1.1988174928663766
14666,14666,0.1458892464832872,Amerindian,2,1.3875335478899724,1.5875335478899726,0.5437667739449862,0.8437667739449861,0.9729446232416435
25441,25441,0.3368945651790579,Mexican,1,1.9021367391074344,1.702136739107435,1.4010683695537174,1.1010683695537171,1.168447282589529
25532,25532,0.3831041668442321,Other,1,1.7298625001065395,1.5298625001065391,0.8149312500532696,0.5149312500532697,1.291552083422116
