sex,LSAT_I,UGPA_I,ZFYA,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White
1,41.0,3.9,2.26,0,0,0,0,0,0,0,1
1,34.0,3.4,0.03,0,0,0,0,0,0,0,1
0,33.0,3.2,-1.24,0,0,1,0,0,0,0,0
1,44.0,3.4,-0.39,0,0,0,0,0,0,0,1
1,43.0,3.2,0.73,0,0,0,0,0,0,0,1
0,33.0,2.8,-0.1,0,0,0,0,0,0,0,1
1,36.0,2.9,-0.91,0,0,0,0,1,0,0,0
0,37.0,3.5,1.96,0,0,0,0,0,0,0,1
1,38.0,2.9,-0.17,0,0,0,0,0,0,0,1
1,37.0,2.4,1.66,0,0,0,0,0,0,0,1
0,34.5,3.1,-1.21,0,0,0,0,0,0,0,1
1,25.0,2.9,-1.42,0,0,1,0,0,0,0,0
0,36.0,3.2,0.26,0,0,0,0,0,0,0,1
1,41.0,3.7,0.21,0,0,0,0,0,1,0,0
1,44.0,3.3,1.06,0,1,0,0,0,0,0,0
1,48.0,3.9,0.02,0,0,0,0,0,0,0,1
0,45.0,3.2,0.85,0,0,0,0,0,0,0,1
1,30.0,2.4,0.28,0,0,0,0,0,0,0,1
0,35.0,3.2,-0.92,0,0,0,0,0,0,0,1
0,32.0,3.2,0.36,0,0,0,0,0,0,0,1
0,31.0,2.6,-1.48,0,0,1,0,0,0,0,0
1,31.0,2.7,-2.17,0,1,0,0,0,0,0,0
0,39.0,3.0,1.81,0,0,0,0,0,0,0,1
0,40.0,2.9,0.96,0,0,0,0,0,0,0,1
0,35.0,3.4,-0.91,0,0,0,0,0,0,0,1
1,44.0,3.5,-0.73,0,0,0,0,0,0,0,1
0,33.5,3.3,-0.8,0,0,0,0,0,1,0,0
0,39.0,2.7,-0.14,0,0,0,0,0,0,0,1
1,31.0,2.8,-0.98,0,0,0,0,0,0,0,1
1,41.0,3.4,0.2,0,0,0,0,0,0,0,1
0,38.0,3.4,-0.25,0,0,0,0,0,0,0,1
1,32.5,2.3,-0.51,0,0,0,0,0,0,0,1
0,39.0,4.0,1.06,0,0,0,0,0,0,0,1
1,30.0,3.4,-0.17,0,0,0,0,1,0,0,0
1,34.0,2.9,-1.01,0,0,0,0,1,0,0,0
1,36.0,2.9,-0.11,0,0,0,0,0,0,0,1
1,34.0,2.9,0.05,0,0,0,0,0,0,0,1
1,35.0,3.0,-0.6,0,0,0,0,0,0,0,1
0,36.5,2.2,-0.43,0,0,0,0,0,0,0,1
0,42.0,2.8,-0.92,0,0,0,0,0,0,0,1
1,43.5,2.4,0.13,0,0,0,0,0,0,0,1
1,28.0,3.4,-0.17,0,0,0,0,0,0,0,1
1,29.0,2.5,-0.75,0,0,0,0,0,0,0,1
1,40.0,3.1,0.45,0,0,0,0,0,0,0,1
1,35.0,3.6,0.29,0,0,0,0,0,0,0,1
1,35.0,3.5,0.88,0,0,0,0,0,0,0,1
1,41.0,2.9,0.33,0,1,0,0,0,0,0,0
1,45.0,3.5,-0.96,0,0,0,0,0,0,0,1
1,40.0,2.8,-0.7,0,0,0,0,0,0,0,1
1,46.0,3.6,1.34,0,0,0,0,0,0,0,1
0,30.5,3.2,-0.08,0,0,0,0,0,0,0,1
0,37.0,3.8,0.86,0,0,0,0,0,0,0,1
0,48.0,3.6,-0.84,0,0,0,0,0,0,0,1
0,44.0,3.9,0.09,0,0,0,0,0,0,0,1
0,40.0,2.6,-1.52,0,0,0,0,0,0,0,1
1,44.0,3.9,-1.31,0,0,0,0,0,0,0,1
0,44.0,4.0,-0.72,0,0,0,0,0,0,0,1
1,35.0,3.3,1.38,0,0,0,0,0,0,0,1
0,42.0,3.3,-1.59,0,0,0,0,0,0,0,1
0,47.0,3.2,1.92,0,0,0,0,0,0,0,1
0,41.0,3.6,1.06,0,0,0,0,0,0,0,1
0,35.0,3.0,-1.65,0,0,0,0,0,0,0,1
0,36.0,3.6,-0.74,0,0,0,0,0,0,0,1
0,34.0,2.9,-0.74,0,0,0,0,0,0,0,1
1,37.0,2.7,-0.51,0,0,0,0,0,0,0,1
0,47.0,2.8,0.92,0,0,0,0,0,0,0,1
1,31.0,3.1,-0.89,0,0,0,0,0,0,0,1
0,40.0,3.5,0.61,0,0,0,0,0,0,0,1
0,33.0,3.0,0.4,0,0,0,0,0,0,0,1
1,38.0,3.3,-0.1,0,0,0,0,0,0,0,1
0,31.0,3.2,0.36,0,0,0,0,0,0,0,1
1,32.5,2.9,-0.29,0,0,0,0,0,0,0,1
0,30.0,2.7,-0.12,0,0,0,0,0,0,0,1
1,36.0,2.9,-0.17,0,0,0,0,0,0,0,1
0,46.0,3.4,0.73,0,0,0,0,0,0,0,1
0,39.0,3.9,-0.39,0,0,0,0,0,0,0,1
0,31.0,3.5,1.54,0,0,0,0,0,0,0,1
0,36.0,3.8,0.94,0,0,0,0,0,0,0,1
1,38.0,3.1,1.56,0,0,0,0,0,0,0,1
1,39.0,3.7,1.42,0,0,0,0,0,0,0,1
0,24.7,2.3,-1.56,0,0,1,0,0,0,0,0
0,45.0,2.8,1.03,0,0,0,0,0,0,0,1
0,39.0,2.4,-0.06,0,0,1,0,0,0,0,0
0,43.0,2.9,0.5,0,0,0,0,0,0,0,1
1,39.0,3.0,1.7,0,0,0,0,0,0,0,1
0,41.0,3.3,-0.26,0,0,0,0,0,0,0,1
1,31.0,3.1,-0.44,0,0,0,0,0,0,0,1
1,40.0,2.8,-0.13,0,0,0,0,0,0,0,1
0,39.0,3.3,-0.43,0,0,0,0,0,0,0,1
1,38.0,3.2,-0.84,0,0,0,0,0,0,0,1
0,40.0,3.9,-0.01,0,0,0,0,0,0,0,1
1,40.0,3.3,-0.95,0,0,0,0,0,0,0,1
0,45.0,2.7,-1.01,1,0,0,0,0,0,0,0
0,43.0,3.4,-0.94,0,0,0,0,0,0,0,1
1,29.0,2.8,0.81,0,0,1,0,0,0,0,0
1,42.0,3.3,-0.02,0,0,0,0,0,0,0,1
0,32.0,3.0,-0.01,0,0,0,0,0,0,0,1
1,29.0,3.4,1.42,0,0,0,0,0,0,0,1
0,41.0,3.0,-0.11,0,0,0,0,0,0,0,1
0,29.0,2.6,-2.33,0,0,1,0,0,0,0,0
0,35.0,4.0,1.61,0,0,0,0,0,0,0,1
0,42.0,3.5,2.22,0,0,0,0,0,0,0,1
1,39.0,3.1,0.64,0,0,0,0,0,0,0,1
0,38.0,2.7,0.0,0,0,0,0,0,0,0,1
1,39.0,3.4,0.19,0,0,0,0,0,0,0,1
1,31.0,2.9,0.59,0,0,0,0,0,0,0,1
0,38.0,3.2,0.66,0,0,0,0,0,0,0,1
0,33.0,3.5,0.58,0,0,0,0,0,0,0,1
