sex,LSAT_I,LSAT,c_LSAT,UGPA_I,UGPA,c_UGPA,K,ZFYA,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White
0,20.0,9.054002057455564,15.473280391974273,3.2,0.3298900433512016,0.3238054674901988,-0.08433685845016228,-0.27,0,0,0,1,0,0,0,0
0,39.0,2.5134035208611647,4.295404084256369,3.0,-0.3711972917147443,-0.37728186757574733,-0.9350773625589139,-0.56,0,0,0,0,0,0,0,1
0,42.0,5.534818528833448,9.458999288034434,3.6,0.26101102499722223,0.2549264491362192,0.5824827284195482,-0.84,0,0,0,0,0,0,0,1
1,33.0,6.332845334510636,3.7055875183356197,2.9,-0.05982739190689818,-0.05374281604589522,-0.17305599991204051,-1.39,0,0,0,0,0,0,0,1
0,43.0,5.969339767002195,10.201595646173805,2.6,0.2891577921275391,0.28307321626653614,0.6500465509095552,1.37,0,0,0,0,0,0,0,1
0,37.0,2.5888367623537496,4.424319417948957,2.5,-0.2657402466786479,-0.2718248225396508,-0.6819370627102305,1.1,0,0,0,0,0,0,0,1
1,34.0,6.609747273579687,3.8676133242755815,3.6,-0.04370494231683007,-0.03762036645582711,-0.1343554870906529,0.32,0,0,0,0,0,0,0,1
0,35.0,3.6043227227469874,6.159783900899783,3.7,-0.06547175344350632,-0.07155632930450924,-0.20121027570007752,0.17,0,0,0,0,0,0,0,1
0,37.0,4.386756024088134,7.496961624390606,3.1,0.012419223790613984,0.006334647929611009,-0.01423988101660096,-0.51,0,0,0,0,0,0,0,1
1,39.0,5.980149937583468,3.499212091241957,3.0,-0.0762730277915535,-0.07018845193055061,-0.21253229281991565,0.38,0,0,0,0,0,0,0,1
0,34.0,3.566735625711379,6.095547589944519,3.2,-0.06283028391465569,-0.06891485977565863,-0.19486966196160693,-0.54,0,0,0,0,0,0,0,1
0,40.0,4.313464979104541,7.3717073023730775,3.7,0.025682598262429537,0.019598022401426527,0.017597675114917354,-0.12,0,0,0,0,0,0,0,1
0,38.0,3.9518129467603376,6.753644343553533,3.3,-0.05904415414232335,-0.0651287300033263,-0.18578139265246588,-0.32,0,0,0,0,0,0,0,1
0,42.0,6.986436347622657,11.939812677469853,2.8,-0.7076980178877131,-0.713782593748716,-0.6320489064716133,-1.1,0,0,1,0,0,0,0,0
1,33.0,9.230022977432032,5.400835822207253,3.0,0.20956193830834224,0.21564651416934516,0.47358923657623986,-0.72,0,0,0,0,0,0,0,1
1,37.0,5.061986998597965,2.9619602010114905,3.5,-0.16871986222230007,-0.16263528636129715,-0.43444273398437794,-0.13,0,0,0,0,0,0,0,1
1,31.0,7.217829527213229,4.223425268222253,3.1,0.10804170712140401,0.11412628298240703,0.22989890982213057,-1.16,0,0,0,0,0,0,0,1
1,41.0,4.291460952185516,2.5110962450296737,3.9,-0.3181045407469924,-0.3120199648859895,-0.793027428839009,0.51,0,0,0,0,0,0,0,1
0,32.5,3.1992150214083623,5.467455247561448,2.9,-0.17058124023170643,-0.17666581609270945,-0.45351629274615357,0.43,0,0,0,0,0,0,0,1
0,33.0,4.026582646586346,6.88142568520663,3.5,0.016205911244397686,0.010121335383394735,-0.0051502730425108095,-0.88,0,0,0,0,0,0,0,1
0,30.0,3.6136221034003837,6.175676533064938,3.3,-0.14032946704812227,-0.14641404290912524,-0.3808995895944041,0.16,0,0,0,0,0,0,0,1
1,40.0,4.578019821426045,2.67877268635052,3.3,-0.26133318345616724,-0.25524860759516427,-0.656752811979631,1.11,0,0,0,0,0,0,0,1
0,29.0,4.391832128037231,7.5056366809241455,3.1,-0.9378439569271384,-0.9439285327881412,-0.9513995733537381,-0.74,0,0,0,0,1,0,0,0
1,37.0,11.318149519643384,6.622677702563492,3.4,0.3685971758056046,0.37468175166660755,0.8553392438212147,0.4,0,0,0,0,0,0,0,1
1,28.0,6.746890915328228,3.947861260272546,3.4,-0.06883344968178887,-0.06274887382078591,-0.19467424423900814,-0.17,0,0,0,0,0,0,0,1
0,44.0,2.6727419105577854,4.567713231673807,3.0,-0.3944449805377416,-0.40052955639874455,-0.9908813813177174,0.19,0,0,0,0,0,0,0,1
0,39.0,4.439401700942669,7.586933033081055,2.5,0.017730348524927525,0.0116457726639246,-0.0014909963184026225,-1.63,0,0,0,0,0,0,0,1
1,42.0,18.210286198622903,10.655527757042698,3.2,-0.22726282383886978,-0.2211782479778668,0.7688930101582604,1.39,0,0,0,0,1,0,0,0
0,41.0,4.490495305855119,7.674251952386586,2.6,0.08341294649682993,0.07732837063582701,0.15617426482898422,-0.01,0,0,0,0,0,0,0,1
1,29.0,20.039389018852532,11.725805053009404,2.5,-0.3071575232884942,-0.30107294742749124,0.3440185741510403,-0.25,0,0,1,0,0,0,0,0
1,44.0,7.18043638190429,4.201545123483361,3.9,-0.14681756662071235,-0.14073299075970935,-0.3818682125376348,0.74,0,0,0,0,0,0,0,1
1,38.0,6.961375709843058,4.073364432297882,3.9,-0.03590939754616973,-0.029824821685166824,-0.11564297205618246,0.46,0,0,0,0,0,0,0,1
1,45.0,9.51337866403929,5.566637960121363,3.6,0.1904527387948696,0.19653731465587254,0.42771929499905026,2.33,0,0,0,0,0,0,0,1
0,28.0,4.679189449805338,7.9967300542400155,3.4,0.10516697380851861,0.0990823979475157,0.20839288137292758,-1.11,0,0,0,0,0,0,0,1
0,35.0,5.052481859443872,8.634686406124915,2.4,0.1030127696099375,0.09692819374893452,0.2032219049191741,0.04,0,0,0,0,0,0,0,1
0,42.0,6.283722294925638,10.738875069574355,2.6,0.34483413604335705,0.338749560182354,0.7836926851104935,-2.01,0,0,0,0,0,0,0,1
0,33.5,4.521366649709375,7.727011047922755,3.3,0.1429917151490325,0.13690713928802956,0.29918782410396283,-1.11,0,0,0,0,0,0,0,1
0,44.0,4.76138921386392,8.137209368178894,3.9,0.049433985314510515,0.043349409453507445,0.07461077687713652,0.19,0,0,0,0,0,0,0,1
1,39.0,9.631945267749318,5.636015767977342,2.8,0.27040152244619764,0.27648609830720056,0.6196292717967822,-0.19,0,0,0,0,0,0,0,1
1,41.0,9.511504304165213,5.565541201210106,2.8,0.20581968326240022,0.2119042591234031,0.4646062846632997,-0.55,0,0,0,0,0,0,0,1
0,43.0,7.347430967432156,12.556752118930094,3.7,0.5326018467190612,0.5265172708580583,1.2344124503578424,0.0,0,0,0,0,0,0,0,1
1,35.0,4.812437135643513,2.815939130146694,3.0,-0.30128297885784827,-0.2951984029968453,-0.7526487588403984,0.22,0,0,0,0,0,0,0,1
1,28.0,5.286386076916636,3.0932645957694493,3.9,-0.9164253489299243,-0.9103407730689211,0.15796247744677475,-0.01,1,0,0,0,0,0,0,0
1,33.5,6.9766694061368195,4.082313352901792,2.9,-0.12467196374900473,-0.11858738788800167,-0.328709653530457,0.0,0,0,0,0,0,0,0,1
1,31.0,23.29569813798974,13.63119477758724,3.5,0.5678999528034581,0.5739845286644608,0.5015903423590249,-0.8,0,0,0,1,0,0,0,0
1,32.0,5.7638720493637665,3.3726597122170814,3.1,-0.28839748407578614,-0.2823129082147831,-0.7217182694481211,1.14,0,0,0,0,0,0,0,1
0,39.0,4.199757834156799,7.177381906246348,2.8,0.0763277404835746,0.07024316462257167,0.1391668550910075,1.32,0,0,0,0,0,0,0,1
