sex,LSAT,UGPA,ZFYA,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White
0,1.554465197073459,0.7772325985367297,1.128720997561216,0,1,0,0,0,0,0,0
1,1.7471367284986437,0.7235683642493218,1.2726139404155363,1,0,0,0,0,0,0,0
0,1.6021271270833233,0.9010635635416616,1.068439272569436,0,0,0,0,0,0,1,0
0,1.7813357913052703,0.9406678956526352,1.534446492754392,1,0,0,0,0,0,0,0
0,1.9998443828169516,1.1999221914084757,1.8332036523474595,0,0,0,1,0,0,0,0
1,1.3940616624010014,0.4470308312005007,0.778384718667501,0,0,0,0,0,1,0,0
0,1.984921818547332,1.1924609092736662,1.8207681821227768,0,0,0,1,0,0,0,0
0,1.641270087376166,0.8706350436880829,1.4177250728134716,1,0,0,0,0,0,0,0
1,1.6440759722709115,1.072037986135456,0.7200633102257601,0,0,0,0,1,0,0,0
1,1.358293183594181,0.7791465917970906,1.298577652995151,0,0,1,0,0,0,0,0
0,2.3581775644358576,1.2790887822179289,1.8651479703632143,0,0,0,0,0,0,0,1
0,1.5858371716340416,0.8429185858170207,1.3715309763617012,1,0,0,0,0,0,0,0
0,1.5190460607161378,0.7595230303580688,1.0992050505967814,0,1,0,0,0,0,0,0
1,1.9004409436865188,0.8502204718432596,1.2503674530720992,0,0,0,0,0,0,0,1
0,1.7646475789814091,1.0823237894907043,1.637206315817841,0,0,0,1,0,0,0,0
1,1.9557756732983724,0.8778878366491865,1.296479727748644,0,0,0,0,0,0,0,1
0,1.506654120693851,1.0533270603469256,1.6555451005782091,0,0,1,0,0,0,0,0
0,1.6116733467172537,0.8558366733586268,1.393061122264378,1,0,0,0,0,0,0,0
1,1.5409513757259177,0.8704756878629588,1.4507928131049317,0,0,1,0,0,0,0,0
0,1.844898798940933,1.1224493994704663,1.7040823324507774,0,0,0,1,0,0,0,0
0,1.3232209108139912,0.9616104554069956,1.5026840923449925,0,0,1,0,0,0,0,0
0,1.402653456896151,1.0013267284480756,1.5688778807467925,0,0,1,0,0,0,0,0
0,2.0704199417098774,1.2352099708549389,1.8920166180915647,0,0,0,1,0,0,0,0
1,1.4785987035575885,0.4892993517787943,0.848832252964657,0,0,0,0,0,1,0,0
1,1.448334787053152,0.8241673935265761,1.3736123225442936,0,0,1,0,0,0,0,0
1,1.7733705379247402,0.6366852689623701,1.0944754482706167,0,0,0,0,0,1,0,0
0,1.875681471777459,1.0378407358887296,1.4630678931478824,0,0,0,0,0,0,0,1
0,1.6327659546397106,0.8663829773198551,1.410638295533092,1,0,0,0,0,0,0,0
1,1.4934030748485665,0.4967015374242831,0.8611692290404718,0,0,0,0,0,1,0,0
1,1.2316407600710355,0.7158203800355177,1.193033966725863,0,0,1,0,0,0,0,0
1,1.3837327627381386,0.4418663813690693,0.7697773022817822,0,0,0,0,0,1,0,0
0,2.168463940932313,1.534231970466157,1.3903866174435948,0,0,0,0,1,0,0,0
0,1.824618173437687,0.9623090867188434,1.5705151445314058,1,0,0,0,0,0,0,0
1,1.307968722075148,0.503984361037574,0.90664060172929,1,0,0,0,0,0,0,0
0,1.7284590069648615,1.164229503482431,1.8403825058040515,0,0,1,0,0,0,0,0
1,1.5181174449337465,0.5090587224668732,0.8817645374447886,0,0,0,0,0,1,0,0
1,1.44455052514429,0.622275262572145,0.7037921042869084,0,0,0,0,0,0,1,0
1,1.3510552792732522,0.5755276396366261,0.6258793993943768,0,0,0,0,0,0,1,0
0,1.8961694150504664,1.0480847075252333,1.3134745125420555,0,0,0,0,0,0,1,0
1,1.427873680063335,0.5639368400316676,1.0065614000527792,1,0,0,0,0,0,0,0
0,1.982837760193699,1.0914188800968494,1.3856981334947491,0,0,0,0,0,0,1,0
0,2.055636823672052,1.077818411836026,1.7630306863933765,1,0,0,0,0,0,0,0
0,1.9279403133936224,1.413970156696811,1.189950261161352,0,0,0,0,1,0,0,0
0,1.8209759495602984,0.9604879747801492,1.5674799579669156,1,0,0,0,0,0,0,0
1,1.4456239127199886,0.8228119563599943,1.3713532605999903,0,0,1,0,0,0,0,0
0,1.889781323251213,1.1448906616256065,1.7414844360426776,0,0,0,1,0,0,0,0
1,1.6461616740069038,0.5730808370034519,0.9884680616724196,0,0,0,0,0,1,0,0
0,1.7541256541617356,1.1770628270808678,1.861771378468113,0,0,1,0,0,0,0,0
