sex,LSAT,UGPA,ZFYA,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White
1,1.856027707184664,0.678013853592332,1.1633564226538866,0,0,0,0,0,1,0,0
1,1.5586101015202536,0.6793050507601268,0.7988417512668781,0,0,0,0,0,0,1,0
1,1.9852189876925723,0.8926094938462864,1.3210158230771438,0,0,0,0,0,0,0,1
0,1.7637729205842827,1.0818864602921414,1.6364774338202357,0,0,0,1,0,0,0,0
1,1.4441834497095636,0.5720917248547818,1.0201528747579696,1,0,0,0,0,0,0,0
1,1.4305296580086146,0.5652648290043074,1.008774715007179,1,0,0,0,0,0,0,0
0,1.810026656242636,1.0050133281213178,1.408355546868863,0,0,0,0,0,0,0,1
1,1.782400816676322,0.7912004083381612,0.9853340138969352,0,0,0,0,0,0,1,0
1,2.09419565671612,1.2970978283580594,1.0951630472634328,0,0,0,0,1,0,0,0
0,1.813099125811454,1.006549562905727,1.4109159381762115,0,0,0,0,0,0,0,1
0,1.8974575281888555,1.398728764094428,1.1645479401573795,0,0,0,0,1,0,0,0
0,1.941896525230068,1.0209482626150337,1.6682471043583895,1,0,0,0,0,0,0,0
0,1.8440896362185544,0.9220448181092772,1.3700746968487951,0,1,0,0,0,0,0,0
1,1.4958245231910263,0.5979122615955133,1.0631871026591888,1,0,0,0,0,0,0,0
1,1.7679925296724583,0.7839962648362293,1.1399937747270488,0,0,0,0,0,0,0,1
0,1.794187493645897,0.8470937468229485,1.3451562447049144,0,0,0,0,0,1,0,0
0,2.131210903377391,1.1656054516886951,1.6760090861478254,0,0,0,0,0,0,0,1
1,1.5231478367683031,0.8615739183841516,1.4359565306402526,0,0,1,0,0,0,0,0
0,1.6507673546242605,1.1253836773121302,1.7756394621868834,0,0,1,0,0,0,0,0
1,1.800177037502119,0.8000885187510598,1.1668141979184328,0,0,0,0,0,0,0,1
0,1.5499997459931103,1.0749998729965553,1.6916664549942586,0,0,1,0,0,0,0,0
0,2.163342164336358,1.181671082168179,1.702785136946965,0,0,0,0,0,0,0,1
0,1.468734806906678,1.034367403453339,1.6239456724222314,0,0,1,0,0,0,0,0
0,1.5248836964478525,1.0624418482239262,1.6707364137065437,0,0,1,0,0,0,0,0
0,1.7241879606245791,0.9620939803122897,1.170156633853816,0,0,0,0,0,0,1,0
1,1.4094011101469317,0.5547005550734658,0.9911675917891098,1,0,0,0,0,0,0,0
0,2.0701918076446857,1.235095903822343,1.891826506370572,0,0,0,1,0,0,0,0
0,1.8782545812681923,1.389127290634096,1.1485454843901604,0,0,0,0,1,0,0,0
1,1.3633496277426569,0.4316748138713284,0.752791356452214,0,0,0,0,0,1,0,0
0,2.0246388190249984,1.062319409512499,1.7371990158541657,1,0,0,0,0,0,0,0
1,1.3528517475128186,0.7764258737564094,1.2940431229273488,0,0,1,0,0,0,0,0
1,1.4857319016415904,0.4928659508207952,0.8547765847013253,0,0,0,0,0,1,0,0
0,1.848814092499472,1.124407046249736,1.707345077082893,0,0,0,1,0,0,0,0
0,2.3556044505619504,1.277802225280975,1.8630037088016247,0,0,0,0,0,0,0,1
1,1.6208805861515008,0.6604402930757505,1.167400488459584,1,0,0,0,0,0,0,0
1,1.2503734218425409,0.4251867109212705,0.6419778515354508,0,1,0,0,0,0,0,0
1,1.639727226946362,0.569863613473181,0.9831060224553017,0,0,0,0,0,1,0,0
1,1.4623689889467704,0.6311844944733853,0.7186408241223088,0,0,0,0,0,0,1,0
1,1.4586061975829048,0.4793030987914525,0.8321718313190873,0,0,0,0,0,1,0,0
0,1.7141331973682408,0.8070665986841203,1.2784443311402007,0,0,0,0,0,1,0,0
1,1.6391733759723892,0.5695866879861946,0.982644479976991,0,0,0,0,0,1,0,0
1,1.432039752870815,0.5660198764354076,1.010033127392346,1,0,0,0,0,0,0,0
0,1.5460380099311184,0.7730190049655592,1.1216983416092652,0,1,0,0,0,0,0,0
0,1.63734128147445,1.1186706407372249,1.7644510678953749,0,0,1,0,0,0,0,0
1,1.8511803136287872,0.8255901568143938,1.2093169280239895,0,0,0,0,0,0,0,1
0,1.4139577055917234,1.0069788527958616,1.5782980879931028,0,0,1,0,0,0,0,0
1,1.5946574376298992,0.5473287188149496,0.9455478646915824,0,0,0,0,0,1,0,0
0,2.337312072228496,1.2686560361142478,1.847760060190413,0,0,0,0,0,0,0,1
0,1.9683075670046344,1.1841537835023173,1.806922972503862,0,0,0,1,0,0,0,0
1,1.7119040773258232,1.1059520386629116,0.7765867311048529,0,0,0,0,1,0,0,0
0,1.7799311564240738,1.339965578212037,1.0666092970200616,0,0,0,0,1,0,0,0
0,1.6517072964568216,1.0258536482284109,1.543089413714018,0,0,0,1,0,0,0,0
0,2.2567814370722266,1.5783907185361137,1.4639845308935224,0,0,0,0,1,0,0,0
0,1.79787669141318,0.8489383457065899,1.34823057617765,0,0,0,0,0,1,0,0
0,1.990688889882988,0.995344444941494,1.4922407415691563,0,1,0,0,0,0,0,0
1,1.5305432470507936,0.8652716235253968,1.442119372542328,0,0,1,0,0,0,0,0
1,1.5192670744419392,1.0096335372209695,0.6160558953682828,0,0,0,0,1,0,0,0
1,2.184563344316768,0.992281672158384,1.487136120263973,0,0,0,0,0,0,0,1
1,1.592337934616555,0.7961689673082775,1.2602816121804623,0,0,0,1,0,0,0,0
0,1.7313071428421536,0.9156535714210766,1.4927559523684613,1,0,0,0,0,0,0,0
1,1.2046381604042091,0.4023190802021047,0.6038651336701746,0,1,0,0,0,0,0,0
1,1.313332383711963,0.4066661918559816,0.7111103197599691,0,0,0,0,0,1,0,0
0,1.9725606878769868,1.036280343938493,1.6938005732308223,1,0,0,0,0,0,0,0
0,1.7215938973212006,1.3107969486606004,1.017994914434334,0,0,0,0,1,0,0,0
0,1.7236247352944165,0.9618123676472082,1.169687279412014,0,0,0,0,0,0,1,0
0,1.3555948553954922,0.977797427697746,1.5296623794962434,0,0,1,0,0,0,0,0
1,1.4747410712868825,0.6373705356434414,0.7289508927390689,0,0,0,0,0,0,1,0
1,1.6267443550817635,0.6133721775408819,0.95562029590147,0,1,0,0,0,0,0,0
0,2.266504618103397,1.5832523090516986,1.472087181752831,0,0,0,0,1,0,0,0
1,1.5628201940185882,0.5314100970092941,0.9190168283488234,0,0,0,0,0,1,0,0
0,1.4542620719585542,1.0271310359792771,1.6118850599654615,0,0,1,0,0,0,0,0
1,1.864019891802403,0.8320099459012017,1.2200165765020028,0,0,0,0,0,0,0,1
1,1.328244549293592,0.5641222746467961,0.6068704577446601,0,0,0,0,0,0,1,0
1,1.73330191022844,1.11665095511422,0.7944182585237001,0,0,0,0,1,0,0,0
1,1.9163348509602367,0.8581674254801188,1.2636123758001978,0,0,0,0,0,0,0,1
1,1.7178161688897742,0.7589080844448871,0.931513474074812,0,0,0,0,0,0,1,0
1,1.7824745943414175,0.6912372971707089,1.0853954952845148,0,1,0,0,0,0,0,0
1,1.8979340435408487,0.6989670217704248,1.1982783696173749,0,0,0,0,0,1,0,0
1,1.3741434943596942,0.5370717471798472,0.9617862452997452,1,0,0,0,0,0,0,0
0,1.7078181018650969,0.9039090509325484,1.4731817515542471,1,0,0,0,0,0,0,0
1,2.031861633213234,1.265930816606617,1.0432180276776952,0,0,0,0,1,0,0,0
1,1.472252256150212,0.5361261280751061,0.8268768801251769,0,1,0,0,0,0,0,0
1,1.9688941459551432,1.2344470729775714,0.990745121629286,0,0,0,0,1,0,0,0
0,2.3609378691105443,1.2804689345552722,1.8674482242587869,0,0,0,0,0,0,0,1
0,1.4930028863971914,1.0465014431985955,1.6441690719976592,0,0,1,0,0,0,0,0
0,1.6121329871016012,1.1060664935508009,1.743444155918001,0,0,1,0,0,0,0,0
0,1.4595760077780824,0.7297880038890411,1.0496466731484018,0,1,0,0,0,0,0,0
1,1.7177319649496914,0.6588659824748458,1.031443304124743,0,1,0,0,0,0,0,0
0,1.538713446658587,0.8193567233292934,1.3322612055488223,1,0,0,0,0,0,0,0
1,1.5171779025219716,0.6585889512609858,0.7643149187683096,0,0,0,0,0,0,1,0
1,1.492315065173066,0.546157532586533,0.8435958876442218,0,1,0,0,0,0,0,0
0,1.7915126260743046,1.0957563130371524,1.6595938550619205,0,0,0,1,0,0,0,0
1,1.7467536911005728,0.6733768455502864,1.055628075917144,0,1,0,0,0,0,0,0
0,2.236674893215738,1.218337446607869,1.7638957443464482,0,0,0,0,0,0,0,1
1,1.657615985928003,1.0788079929640015,0.7313466549400027,0,0,0,0,1,0,0,0
0,1.9356237884570509,1.0678118942285253,1.3463531570475424,0,0,0,0,0,0,1,0
0,1.615405893885013,0.8577029469425064,1.3961715782375108,1,0,0,0,0,0,0,0
1,1.5028694629957378,0.6014347314978689,1.0690578858297817,1,0,0,0,0,0,0,0
0,2.108731854800268,1.154365927400134,1.65727654566689,0,0,0,0,0,0,0,1
0,1.884285897038768,1.142142948519384,1.7369049141989734,0,0,0,1,0,0,0,0
1,1.709441662648622,0.8547208313243111,1.357868052207185,0,0,0,1,0,0,0,0
1,1.4824271617814846,0.4912135808907423,0.8520226348179037,0,0,0,0,0,1,0,0
